,direction,energy,field,filename,functional,molecule,multiplicity,no_scf_cycles,orbital_threshold,precision,property_threshold,u_norm,u_x,u_y,u_z,walltime
23,y,-129.8256685720345,-0.001,no_pbe_-0001_y.out,pbe,no,2,12,1e-06,1e-07,-1.0,0.090917576289,-1.0051969263e-11,-0.011343038342,0.090207212347,10143.93
24,x,-434.5372365470955,-0.001,cs_lda_-0001_x.out,lda,cs,1,12,1e-06,1e-07,-1.0,0.82409001099,-0.024613657885,9.3963142295e-10,0.82372235253,6669.126
25,x,-91.95686390056125,+0.001,cn_lda_+0001_x.out,lda,cn,2,20,1e-06,1e-07,-1.0,0.44745330815,0.016980886327,-1.3863042297e-10,0.44713097911,11880.18
26,z,-394.4297216138729,-0.001,np_lda_-0001_z.out,lda,np,1,15,1e-06,1e-07,-1.0,1.1444307907,-1.4488313896e-11,-1.4915323324e-11,-1.1444307907,7943.978
27,z,-418.2049416552811,-0.001,ph3o_pbe_-0001_z.out,pbe,ph3o,1,10,1e-06,1e-07,-1.0,1.4030947638,-2.2316168636e-05,-1.240442793e-09,-1.4030947636,7531.774
28,x,-189.6527861954212,+0.001,hcooh_pbe_+0001_x.out,pbe,hcooh,1,16,1e-06,1e-07,-1.0,0.52884142567,-0.52203114226,-0.084597517759,2.0531812176e-09,12498.18
29,x,-99.2596263783029,-0.001,bo_lda_-0001_x.out,lda,bo,2,13,1e-06,1e-07,-1.0,0.86863693383,-0.016672089462,-8.2138870476e-12,-0.86847692212,7369.793
30,z,-92.6618504155447,+0.001,hcn_lda_+0001_z.out,lda,hcn,1,10,1e-06,1e-07,-1.0,1.2049005678,-8.2778308541e-09,-1.6959295626e-08,1.2049005678,4431.717
31,z,-436.9836553729997,-0.001,ch3sh_lda_-0001_z.out,lda,ch3sh,1,10,1e-06,1e-07,-1.0,0.62654034726,-0.47423425378,0.40502954267,0.060047887979,5362.066
32,y,-111.7877908246693,-0.001,n2h4_pbe_-0001_y.out,pbe,n2h4,1,13,1e-06,1e-07,-1.0,1.0376968071,-0.00032945884773,-0.027306861718,1.0373374042,8228.437
33,y,-920.054458723785,+0.001,cl2_pbe_+0001_y.out,pbe,cl2,1,12,1e-06,1e-07,-1.0,0.026335585414,-2.2803580057e-11,0.026335585414,-1.5990636664e-08,11610.76
34,z,-99.93480116436851,-0.001,hbo_lda_-0001_z.out,lda,hbo,1,10,1e-06,1e-07,-1.0,1.0546452205,-9.1165351687e-12,-9.082378257e-12,-1.0546452205,3162.027
35,y,-527.3461471659316,-0.001,ar_pbe_-0001_y.out,pbe,ar,1,7,1e-06,1e-07,-1.0,0.011940836651,-1.2017074648e-11,-0.011940836651,-1.1794472022e-11,3156.894
36,x,-213.0023949617596,-0.001,fco_pbe_-0001_x.out,pbe,fco,2,19,1e-06,1e-07,-1.0,0.3214757075,-0.3190015535,0.039807529114,-6.268766765e-09,19971.02
37,z,-55.17745143220687,+0.001,nh_pbe_+0001_z.out,pbe,nh,3,10,1e-06,1e-07,-1.0,0.59547933931,-4.9915265213e-12,-5.2364136168e-12,0.59547933931,4150.995
38,x,-115.6427359983321,+0.001,ch3oh_pbe_+0001_x.out,pbe,ch3oh,1,10,1e-06,1e-07,-1.0,0.64513639284,0.53869552724,0.35497618836,-1.4620117409e-10,5593.614
39,y,-78.50869904737684,-0.001,c2h4_pbe_-0001_y.out,pbe,c2h4,1,9,1e-06,1e-07,-1.0,0.026365761236,-1.0019397983e-11,-0.026365761236,1.052567236e-08,4895.341
40,x,-187.2869716607688,-0.001,co2_lda_-0001_x.out,lda,co2,1,10,1e-06,1e-07,-1.0,0.013313396283,-0.013313396283,-1.4515825594e-11,-3.7879489909e-10,5889.761
41,x,-290.6904438515496,-0.001,sih4_lda_-0001_x.out,lda,sih4,1,8,1e-06,1e-07,-1.0,0.034051351293,-0.034051351293,-5.3185944247e-12,-3.2436264459e-11,3848.897
42,x,-1318.130849745288,-0.001,scl2_pbe_-0001_x.out,pbe,scl2,1,16,1e-06,1e-07,-1.0,0.12447266211,-0.039933119762,-1.7565726418e-09,0.1178931277,22483.05
43,x,-176.1030094460743,-0.001,fh-oh_pbe_-0001_x.out,pbe,fh-oh,2,24,1e-06,1e-07,-1.0,1.2772011531,0.63077919532,-1.5702195045e-07,-1.1105675992,25872.56
44,y,-176.1036534710895,-0.001,fh-oh_pbe_-0001_y.out,pbe,fh-oh,2,117,1e-06,1e-07,-1.0,1.2857105881,0.64506511804,-0.012205842669,-1.1121122818,126541.6
45,z,-15.86570573994264,+0.001,beh2_pbe_+0001_z.out,pbe,beh2,1,6,1e-06,1e-07,-1.0,0.021644873487,-3.8152211542e-12,-3.92854178e-12,0.021644873487,1480.133
46,z,-225.3404208212882,+0.001,o3_pbe_+0001_z.out,pbe,o3,1,14,1e-06,1e-07,-1.0,0.23582314891,-1.5753817364e-11,2.2298376479e-09,-0.23582314891,10763.97
47,y,-1318.130865614657,-0.001,scl2_pbe_-0001_y.out,pbe,scl2,1,16,1e-06,1e-07,-1.0,0.13797790492,2.5553108083e-08,-0.071669026143,0.11790442289,21557.95
48,y,-290.6904438515501,-0.001,sih4_lda_-0001_y.out,lda,sih4,1,8,1e-06,1e-07,-1.0,0.034051351128,9.4081566313e-12,-0.034051351128,-3.4057516753e-11,3768.94
49,z,-109.4602582386398,-0.001,n2_pbe_-0001_z.out,pbe,n2,1,10,1e-06,1e-07,-1.0,0.015412581481,-9.3349627205e-12,-9.2741024446e-12,-0.015412581481,4327.898
50,x,-78.50869752259828,-0.001,c2h4_pbe_-0001_x.out,pbe,c2h4,1,8,1e-06,1e-07,-1.0,0.023314677866,-0.023314677866,5.9582798408e-12,7.4180423018e-09,4454.765
51,y,-187.2869716607724,-0.001,co2_lda_-0001_y.out,lda,co2,1,10,1e-06,1e-07,-1.0,0.013313396285,-1.4420114242e-11,-0.013313396285,-3.7875543859e-10,5850.374
52,y,-115.642576083717,+0.001,ch3oh_pbe_+0001_y.out,pbe,ch3oh,1,12,1e-06,1e-07,-1.0,0.64145450112,0.51649991166,0.38038364615,-5.5886365472e-11,6674.404
53,z,-418.2028527312204,-0.001,ph2oh_pbe_-0001_z.out,pbe,ph2oh,1,11,1e-06,1e-07,-1.0,0.28592403174,-0.18814066164,-0.029917035782,-0.21321494867,9406.687
54,x,-527.3461471553502,-0.001,ar_pbe_-0001_x.out,pbe,ar,1,7,1e-06,1e-07,-1.0,0.011940836891,-0.011940836891,-1.2353649316e-11,-1.1854269223e-11,3168.488
55,z,-794.9030526780327,+0.001,s2h2_lda_+0001_z.out,lda,s2h2,1,12,1e-06,1e-07,-1.0,0.48859655695,7.6911362157e-11,1.8492911365e-10,0.48859655695,11579.11
56,y,-213.0020566751661,-0.001,fco_pbe_-0001_y.out,pbe,fco,2,20,1e-06,1e-07,-1.0,0.29630880014,-0.29547092082,0.022267464836,-3.5823058409e-09,22983.19
57,x,-920.0544587234735,+0.001,cl2_pbe_+0001_x.out,pbe,cl2,1,12,1e-06,1e-07,-1.0,0.026335585419,0.026335585419,-2.1215479287e-11,-1.5746661802e-08,12404.26
58,x,-111.7877884251422,-0.001,n2h4_pbe_-0001_x.out,pbe,n2h4,1,11,1e-06,1e-07,-1.0,1.0375924824,-0.022507746915,-0.00032759495429,1.0373482798,6591.03
59,z,-113.649613388044,+0.001,hcho_lda_+0001_z.out,lda,hcho,1,12,1e-06,1e-07,-1.0,0.87492866352,9.6143119832e-11,-1.0214224954e-11,-0.87492866352,5148.813
60,z,-128.2334827629126,-0.001,ne_lda_-0001_z.out,lda,ne,1,5,1e-06,1e-07,-1.0,0.0030497859578,-7.0138198684e-12,-7.2358784818e-12,-0.0030497859578,1375.423
61,z,-54.13680275647588,-0.001,n_lda_-0001_z.out,lda,n,4,9,1e-06,1e-07,-1.0,0.0081855155534,-4.6465145505e-12,-4.8606155239e-12,-0.0081855155534,2577.284
62,y,-99.25962637830284,-0.001,bo_lda_-0001_y.out,lda,bo,2,13,1e-06,1e-07,-1.0,0.86863693383,-8.0829806037e-12,-0.016672089465,-0.86847692212,7402.637
63,y,-189.6532498833549,+0.001,hcooh_pbe_+0001_y.out,pbe,hcooh,1,15,1e-06,1e-07,-1.0,0.55270229887,-0.54949219362,-0.059482437172,2.6702594684e-09,12475.59
64,z,-587.7633681683487,-0.001,nocl_lda_-0001_z.out,lda,nocl,1,18,1e-06,1e-07,-1.0,0.64290786055,0.32591087095,0.5536709626,-0.023687265097,13813.6
65,z,-7.344028535030392,+0.001,li_lda_+0001_z.out,lda,li,2,9,1e-06,1e-07,-1.0,0.14377801631,-1.9121274455e-12,-2.0028760702e-12,0.14377801631,1304.885
66,y,-434.5372365471014,-0.001,cs_lda_-0001_y.out,lda,cs,1,12,1e-06,1e-07,-1.0,0.82409001112,-1.6387417745e-09,-0.024613658705,0.82372235264,6141.205
67,y,-91.95686390056011,+0.001,cn_lda_+0001_y.out,lda,cn,2,20,1e-06,1e-07,-1.0,0.44745330844,-7.0046126241e-11,0.016980885773,0.44713097942,11767.77
68,y,-7.919630325006387,-0.001,lih_lda_-0001_y.out,lda,lih,1,8,1e-06,1e-07,-1.0,2.2068854854,-2.583076513e-12,-0.035042482236,-2.2066072532,1405.892
69,z,-748.9186839073275,-0.001,sih3cl_lda_-0001_z.out,lda,sih3cl,1,10,1e-06,1e-07,-1.0,0.54939673767,3.350435606e-10,5.9943980069e-07,-0.54939673767,9420.211
70,x,-129.8256677892921,-0.001,no_pbe_-0001_x.out,pbe,no,2,12,1e-06,1e-07,-1.0,0.090717581295,-0.0097780727378,-1.0126870255e-11,0.090189072784,10029.44
71,z,-34.32502581706799,+0.001,libh4_lda_+0001_z.out,lda,libh4,1,9,1e-06,1e-07,-1.0,2.2893141138,-6.9955135989e-12,-3.1613091509e-05,-2.2893141136,3729.97
72,y,-55.42547837454033,+0.001,nh2_lda_+0001_y.out,lda,nh2,2,9,1e-06,1e-07,-1.0,0.70170721137,-5.9454505521e-12,0.013552895215,0.70157631767,3745.761
73,z,-290.0510312598915,+0.001,sih3_lda_+0001_z.out,lda,sih3,2,10,1e-06,1e-07,-1.0,0.050005592349,-2.5629090863e-10,-3.7821148435e-09,0.050005592349,7507.262
74,z,-130.4072161889732,-0.001,hno_pbe_-0001_z.out,pbe,hno,1,14,1e-06,1e-07,-1.0,0.57115489603,-1.0654569453e-11,-0.4975007579,0.28055464913,5427.24
75,z,-858.0510170082919,-0.001,scl_pbe_-0001_z.out,pbe,scl,2,17,1e-06,1e-07,-1.0,0.019505066796,-4.8435233465e-10,1.5121072564e-09,0.019505066796,28097.41
76,z,-83.87245770063055,-0.001,h2o-li_pbe_-0001_z.out,pbe,h2o-li,2,16,1e-06,1e-07,-1.0,0.6648278929,0.027624447614,0.066144320356,0.66095230233,11969.76
77,x,-14.72568279751669,+0.001,li2_lda_+0001_x.out,lda,li2,1,8,1e-06,1e-07,-1.0,0.17054535697,0.17054535697,-3.9851023521e-12,-2.0902189172e-11,1723.451
78,y,-174.8061482852036,-0.001,of_pbe_-0001_y.out,pbe,of,2,13,1e-06,1e-07,-1.0,0.076710833673,-7.9662304944e-06,-0.0086068329345,0.076226467622,11363.86
79,x,-471.5438964321306,+0.001,so-trip_lda_+0001_x.out,lda,so-trip,3,14,1e-06,1e-07,-1.0,0.55265463223,0.021350879623,1.7307758327e-11,-0.55224205061,16456.77
80,x,-166.7676659182549,+0.001,nco_lda_+0001_x.out,lda,nco,2,22,1e-06,1e-07,-1.0,0.34176196257,0.015912607741,1.043452498e-08,0.3413913121,23868.49
81,y,-65.85360571257188,+0.001,ch3bh2_pbe_+0001_y.out,pbe,ch3bh2,1,11,1e-06,1e-07,-1.0,0.24995577053,0.03892290727,-0.24690665141,1.8965178789e-07,5736.908
82,x,-460.6443728103161,-0.001,hcl_pbe_-0001_x.out,pbe,hcl,1,8,1e-06,1e-07,-1.0,0.42068638841,-0.018024416849,-3.2038010883e-10,0.42030008065,3313.616
83,z,-25.88574208555962,+0.001,bh2_pbe_+0001_z.out,pbe,bh2,2,11,1e-06,1e-07,-1.0,0.20187087978,-4.5361245635e-12,0.200739354,0.021343941966,4803.39
84,x,-138.7897840659179,-0.001,ch3f_lda_-0001_x.out,lda,ch3f,1,11,1e-06,1e-07,-1.0,0.66396603683,-0.017466786663,1.4618907343e-05,-0.66373624973,5729.949
85,z,-363.1124222690142,-0.001,sio_lda_-0001_z.out,lda,sio,1,10,1e-06,1e-07,-1.0,1.2090729165,-9.1018616424e-10,-5.1308765714e-09,-1.2090729165,6301.347
86,z,-95.05377468648365,+0.001,ch3nh2_lda_+0001_z.out,lda,ch3nh2,1,11,1e-06,1e-07,-1.0,0.53666042599,-0.10735057911,0.52520272972,0.025344796036,5227.497
87,x,-198.3540692850441,+0.001,f2_lda_+0001_x.out,lda,f2,1,12,1e-06,1e-07,-1.0,0.0070367837265,0.0070367837265,-9.7189967793e-12,-2.5127479883e-09,6180.775
88,x,-150.5511352720547,-0.001,hooh_lda_-0001_x.out,lda,hooh,1,11,1e-06,1e-07,-1.0,0.61709931999,-0.014594508496,-0.001219594672,0.61692550899,4663.099
89,y,-511.3398806163555,+0.001,cso_pbe_+0001_y.out,pbe,cso,1,10,1e-06,1e-07,-1.0,0.30099597685,-1.1641157617e-08,0.026446817202,-0.29983185945,7820.385
90,x,-595.3562776475811,+0.001,sf2_lda_+0001_x.out,lda,sf2,1,13,1e-06,1e-07,-1.0,0.33316975481,0.023994492519,5.0416532154e-08,0.33230460401,12436.23
91,x,-199.1394420117256,-0.001,mg_lda_-0001_x.out,lda,mg,1,8,1e-06,1e-07,-1.0,0.071400841362,-0.071400841362,-7.6369507104e-12,-7.3133437184e-12,2445.718
92,x,-341.240194819607,+0.001,ph2_lda_+0001_x.out,lda,ph2,2,12,1e-06,1e-07,-1.0,0.22968250774,0.029918719855,-1.0084009211e-11,0.22772554657,8790.606
93,z,-342.1720083798151,+0.001,alf_pbe_+0001_z.out,pbe,alf,1,9,1e-06,1e-07,-1.0,0.50255706556,4.7647440403e-10,-4.157873471e-09,-0.50255706556,6051.639
94,z,-341.2404240167961,+0.001,ph2_lda_+0001_z.out,lda,ph2,2,10,1e-06,1e-07,-1.0,0.26059574399,-1.0666490445e-11,-1.0093470279e-11,0.26059574399,6608.721
95,z,-199.1394420130354,-0.001,mg_lda_-0001_z.out,lda,mg,1,8,1e-06,1e-07,-1.0,0.071400841361,-7.2620796759e-12,-7.6424708574e-12,-0.071400841361,2269.174
96,z,-595.356610611685,+0.001,sf2_lda_+0001_z.out,lda,sf2,1,12,1e-06,1e-07,-1.0,0.35712767347,-1.0743341935e-08,-1.8128809024e-10,0.35712767347,10631.99
97,y,-515.9231684670494,-0.001,nh2cl_pbe_-0001_y.out,pbe,nh2cl,1,13,1e-06,1e-07,-1.0,0.77129980817,0.34514628171,-0.51451068186,0.45940852904,9280.187
98,x,-342.1725510313082,+0.001,alf_pbe_+0001_x.out,pbe,alf,1,9,1e-06,1e-07,-1.0,0.54216078397,0.042176368627,1.7348341356e-10,-0.54051777917,5995.888
99,z,-150.55051796552,-0.001,hooh_lda_-0001_z.out,lda,hooh,1,13,1e-06,1e-07,-1.0,0.60309025864,-2.3727759288e-11,-1.5576312672e-10,0.60309025864,6537.89
100,y,-99.85194613148224,-0.001,hf_lda_-0001_y.out,lda,hf,1,8,1e-06,1e-07,-1.0,0.70616845376,8.0753440955e-11,-0.0059180572935,0.70614365513,2002.678
101,z,-198.3540720807714,+0.001,f2_lda_+0001_z.out,lda,f2,1,12,1e-06,1e-07,-1.0,0.012601575413,-9.1316615828e-11,-3.5725876923e-10,0.012601575413,6031.4
102,x,-95.05366983775288,+0.001,ch3nh2_lda_+0001_x.out,lda,ch3nh2,1,12,1e-06,1e-07,-1.0,0.53006814189,-0.076997740897,0.52444597714,5.7647677593e-10,6209.319
103,x,-363.1112449396886,-0.001,sio_lda_-0001_x.out,lda,sio,1,11,1e-06,1e-07,-1.0,1.174013552,-0.028132306742,-2.933423382e-10,-1.1736764433,6866.839
104,y,-496.0486683748382,+0.001,sf_lda_+0001_y.out,lda,sf,2,13,1e-06,1e-07,-1.0,0.22468630012,0.00048837745137,0.024245370723,-0.22337380542,16423.2
105,z,-138.7904484357524,-0.001,ch3f_lda_-0001_z.out,lda,ch3f,1,10,1e-06,1e-07,-1.0,0.68244532189,-1.8132319995e-09,8.9416098164e-06,-0.68244532183,5057.47
106,x,-25.88574177354144,+0.001,bh2_pbe_+0001_x.out,pbe,bh2,2,13,1e-06,1e-07,-1.0,0.20185480901,0.020719937757,0.20078856566,-7.2167813375e-12,5253.113
107,z,-471.5433484740846,+0.001,so-trip_lda_+0001_z.out,lda,so-trip,3,14,1e-06,1e-07,-1.0,0.52225389067,-5.9000848988e-10,6.6088577638e-11,-0.52225389067,16530.03
108,z,-14.7257320397114,+0.001,li2_lda_+0001_z.out,lda,li2,1,10,1e-06,1e-07,-1.0,0.26902852873,-3.9117662202e-12,-3.986153726e-12,0.26902852873,2044.675
109,x,-83.87333273046058,-0.001,h2o-li_pbe_-0001_x.out,pbe,h2o-li,2,19,1e-06,1e-07,-1.0,0.95052906535,-0.18618282549,0.10709245892,0.92594420178,14096.64
110,y,-381.0464759316043,-0.001,ch2ph_pbe_-0001_y.out,pbe,ch2ph,1,12,1e-06,1e-07,-1.0,0.35564496526,0.32420642243,-0.034459210725,0.14207779477,9691.583
111,x,-858.0510765984092,-0.001,scl_pbe_-0001_x.out,pbe,scl,2,16,1e-06,1e-07,-1.0,0.07638884864,-0.029075259323,-0.0003503607011,0.070638252662,25927.34
112,y,-75.91161332267902,+0.001,c2h_lda_+0001_y.out,lda,c2h,2,29,1e-06,1e-07,-1.0,0.30817051226,-8.4764269768e-10,0.025910870305,0.30707929176,21290.57
113,x,-130.4075124811441,-0.001,hno_pbe_-0001_x.out,pbe,hno,1,23,1e-06,1e-07,-1.0,0.58419126396,-0.011359447555,-0.50075360663,0.30065964359,9732.598
114,x,-290.0510182852738,+0.001,sih3_lda_+0001_x.out,lda,sih3,2,11,1e-06,1e-07,-1.0,0.038721499188,0.036628202326,8.0025638497e-06,0.012559029808,8275.788
115,z,-460.6439531128206,-0.001,hcl_pbe_-0001_z.out,pbe,hcl,1,9,1e-06,1e-07,-1.0,0.40106822268,-2.0499255877e-11,-3.3432027607e-10,0.40106822268,3741.835
116,z,-166.768015920586,+0.001,nco_lda_+0001_z.out,lda,nco,2,21,1e-06,1e-07,-1.0,0.37454491623,-7.6687781143e-07,1.0227147187e-08,0.37454491623,22632.92
117,y,-77.82732502005717,+0.001,c2h3_pbe_+0001_y.out,pbe,c2h3,2,16,1e-06,1e-07,-1.0,0.26717598718,-0.24327851598,-0.11044714477,-1.7462624936e-11,15268.0
118,y,-14.62997077980532,-0.001,be_pbe_-0001_y.out,pbe,be,1,8,1e-06,1e-07,-1.0,0.042904077028,-2.5889476267e-12,-0.042904077028,-2.6028155697e-12,1504.236
119,x,-748.9181813813362,-0.001,sih3cl_lda_-0001_x.out,lda,sih3cl,1,9,1e-06,1e-07,-1.0,0.49869249061,-0.041336460705,5.5462345469e-06,-0.49697635475,8215.424
120,z,-129.8255808010174,-0.001,no_pbe_-0001_z.out,pbe,no,2,19,1e-06,1e-07,-1.0,0.074017699581,-1.0048137773e-11,-1.0116436306e-11,0.074017699581,16299.8
121,y,-175.4659515149804,-0.001,hof_pbe_-0001_y.out,pbe,hof,1,12,1e-06,1e-07,-1.0,0.71596006079,-0.63700276961,-0.01013290217,0.32668578856,5785.072
122,x,-34.32734916182508,+0.001,libh4_lda_+0001_x.out,lda,libh4,1,9,1e-06,1e-07,-1.0,2.3251592836,0.032375937654,-3.2243437739e-05,-2.3249338682,3668.225
123,y,-394.4286083158697,-0.001,np_lda_-0001_y.out,lda,np,1,14,1e-06,1e-07,-1.0,1.1071310124,-1.4467377354e-11,-0.024717661193,-1.1068550564,7418.021
124,y,-418.2035710031536,-0.001,ph3o_pbe_-0001_y.out,pbe,ph3o,1,11,1e-06,1e-07,-1.0,1.3679587278,-3.1723791364e-05,-0.029440998248,-1.3676418784,7809.996
125,x,-7.34402853503039,+0.001,li_lda_+0001_x.out,lda,li,2,9,1e-06,1e-07,-1.0,0.14377801631,0.14377801631,-2.0030036979e-12,-1.9244567268e-12,1303.363
126,x,-587.7630471906828,-0.001,nocl_lda_-0001_x.out,lda,nocl,1,19,1e-06,1e-07,-1.0,0.61569555247,0.29241015965,0.5418277511,-1.7879083285e-09,15527.15
127,y,-92.66066451486245,+0.001,hcn_lda_+0001_y.out,lda,hcn,1,12,1e-06,1e-07,-1.0,1.1817145757,-7.8482281406e-10,0.014727652182,1.1816227971,4877.758
128,x,-54.13680275667723,-0.001,n_lda_-0001_x.out,lda,n,4,9,1e-06,1e-07,-1.0,0.008185515538,-0.008185515538,-4.8655787198e-12,-4.6700740673e-12,2604.21
129,y,-436.9833469079111,-0.001,ch3sh_lda_-0001_y.out,lda,ch3sh,1,10,1e-06,1e-07,-1.0,0.60665724028,-0.47193334973,0.36871635218,0.096747983103,5390.275
130,y,-99.93376517672512,-0.001,hbo_lda_-0001_y.out,lda,hbo,1,9,1e-06,1e-07,-1.0,1.0325591627,-9.1207806701e-12,-0.015126654724,-1.0324483565,2862.804
131,z,-920.0544669507776,+0.001,cl2_pbe_+0001_z.out,pbe,cl2,1,11,1e-06,1e-07,-1.0,0.042871961711,-7.376032082e-12,4.9161283077e-10,0.042871961711,9695.133
132,x,-128.2334827612829,-0.001,ne_lda_-0001_x.out,lda,ne,1,5,1e-06,1e-07,-1.0,0.0030497859588,-0.0030497859588,-7.2660010479e-12,-6.9870333002e-12,1355.731
133,x,-113.6505070294126,+0.001,hcho_lda_+0001_x.out,lda,hcho,1,12,1e-06,1e-07,-1.0,0.89875043887,0.01369522391,-1.4010402347e-11,-0.89864608841,4645.961
134,z,-111.7867515464866,-0.001,n2h4_pbe_-0001_z.out,pbe,n2h4,1,10,1e-06,1e-07,-1.0,1.0138515907,-2.8351875383e-11,-4.1775438038e-11,1.0138515907,6635.933
135,x,-418.2028610552318,-0.001,ph2oh_pbe_-0001_x.out,pbe,ph2oh,1,11,1e-06,1e-07,-1.0,0.28698879734,-0.22160749792,-0.02985643296,-0.1798924125,9196.576
136,y,-55.17686717582354,+0.001,nh_pbe_+0001_y.out,pbe,nh,3,12,1e-06,1e-07,-1.0,0.58306734959,-3.3095786394e-12,0.0099531442797,0.58298239174,4887.462
137,x,-794.9026045491705,+0.001,s2h2_lda_+0001_x.out,lda,s2h2,1,12,1e-06,1e-07,-1.0,0.45010434624,0.040539697184,0.0024294938315,0.44826839395,9701.526
138,z,-527.3461471666794,-0.001,ar_pbe_-0001_z.out,pbe,ar,1,7,1e-06,1e-07,-1.0,0.011940836683,-1.18578416e-11,-1.2487889716e-11,-0.011940836683,3148.576
139,x,-109.4602558948001,-0.001,n2_pbe_-0001_x.out,pbe,n2,1,8,1e-06,1e-07,-1.0,0.01066893138,-0.01066893138,-9.297406365e-12,3.2723629216e-10,3252.212
